"n","j","k","m","index_form","theta","n_failed","mean_reference","mean_index","sd_index","auc","power"
100,3,6,15,"mixed_population",10,0,1.80591817887173,7.83959963786213,0.133702199612148,1,1
100,3,6,15,"multinomial",0.1,0,1.80928617573452,1.79876198498885,0.0844842074996981,0.4416,0.14
100,3,6,15,"multinomial",1,0,1.80928617573452,2.66581225569252,0.140178975864706,1,1
100,3,6,15,"multinomial",10,0,1.80928617573452,7.93472657404354,0.136446709348292,1,1
100,3,6,30,"mixed",0.1,0,2.55869569515577,2.60113203824255,0.118832229719597,0.5874,0.12
100,3,6,30,"mixed",1,0,2.55869569515577,4.44602858671786,0.23452767120448,1,1
100,3,6,30,"mixed",10,0,2.55869569515577,16.7536174732013,0.388387469538782,1,1
100,3,6,30,"mixed_population",0.1,0,2.55866297378584,2.60107289369666,0.118799202473305,0.5874,0.12
100,3,6,30,"mixed_population",1,0,2.55866297378584,4.4180423590547,0.230002990396662,1,1
100,3,6,30,"mixed_population",10,0,2.55866297378584,15.1380357647998,0.239503543288546,1,1
100,3,6,30,"multinomial",0.1,0,2.56145675085315,2.60434852113521,0.119270657177646,0.5881,0.13
100,3,6,30,"multinomial",1,0,2.56145675085315,4.3999487919961,0.22875557669299,1,1
100,3,6,30,"multinomial",10,0,2.56145675085315,15.3049829698767,0.244434873858423,1,1
100,5,3,5,"mixed",0.1,0,1.52319226886716,1.52392957301384,0.0734714780137078,0.4981,0.14
100,5,3,5,"mixed",1,0,1.52319226886716,1.60356786205477,0.072831628505573,0.7926,0.43
100,5,3,5,"mixed",10,0,1.52319226886716,2.72408454375067,0.103753586135152,1,1
100,5,3,5,"mixed_population",0.1,0,1.52163215173175,1.52249833671982,0.0729866371002121,0.5,0.14
100,5,3,5,"mixed_population",1,0,1.52163215173175,1.59265020722426,0.0706457350754131,0.7648,0.35
100,5,3,5,"mixed_population",10,0,1.52163215173175,2.43104342749028,0.0756781362970723,1,1
100,5,3,5,"multinomial",0.1,0,1.52702624074108,1.52740541394742,0.0728825313984654,0.496,0.12
100,5,3,5,"multinomial",1,0,1.52702624074108,1.59319284412109,0.0707208867383873,0.7462,0.32
100,5,3,5,"multinomial",10,0,1.52702624074108,2.45036485018125,0.0762458427009704,1,1
100,5,3,15,"mixed",0.1,0,2.56947140342153,2.55629069539613,0.127344203209559,0.4818,0.03
100,5,3,15,"mixed",1,0,2.56947140342153,2.85147344987645,0.155149303816216,0.9091,0.57
100,5,3,15,"mixed",10,0,2.56947140342153,6.95063034194945,0.28970101209364,1,1
100,5,3,15,"mixed_population",0.1,0,2.56928423459813,2.55623989305938,0.127298319111596,0.4824,0.03
100,5,3,15,"mixed_population",1,0,2.56928423459813,2.8473608068039,0.153934024738198,0.9061,0.56
100,5,3,15,"mixed_population",10,0,2.56928423459813,5.91035149779961,0.174100142228811,1,1
100,5,3,15,"multinomial",0.1,0,2.57336110380021,2.56048299313762,0.128000253867433,0.4823,0.03
100,5,3,15,"multinomial",1,0,2.57336110380021,2.84313756126859,0.152485210418803,0.8993,0.52
100,5,3,15,"multinomial",10,0,2.57336110380021,5.90449742944967,0.163844704598519,1,1
100,5,3,30,"mixed",0.1,0,4.11591961008886,4.11475859940274,0.219901872354408,0.4982,0.05
100,5,3,30,"mixed",1,0,4.11591961008886,4.64538511284835,0.265386205961388,0.9312,0.73
100,5,3,30,"mixed",10,5,4.11591961008886,13.3807264945908,0.588471329408156,1,1
100,5,3,30,"mixed_population",0.1,0,4.11581366574706,4.11474950260388,0.219889605553663,0.4985,0.05
100,5,3,30,"mixed_population",1,0,4.11581366574706,4.64642124266344,0.266781003140097,0.9309,0.73
100,5,3,30,"mixed_population",10,5,4.11581366574706,47.2913458345897,155.243924438393,1,1
100,5,3,30,"multinomial",0.1,0,4.12003443223468,4.11879738427663,0.219642509333885,0.4995,0.05
100,5,3,30,"multinomial",1,0,4.12003443223468,4.61144764030024,0.258815218094212,0.9167,0.69
100,5,3,30,"multinomial",10,0,4.12003443223468,11.0350907480428,0.369137184611868,1,1
100,5,6,5,"mixed",0.1,0,1.52455228775048,1.51944452133514,0.0456243068550209,0.4644,0.04
100,5,6,5,"mixed",1,0,1.52455228775048,1.59495358105142,0.0526362520421205,0.8432,0.48
100,5,6,5,"mixed",10,0,1.52455228775048,2.54645992900282,0.0615485229652498,1,1
100,5,6,5,"mixed_population",0.1,0,1.52452304392601,1.51937153624127,0.0455839912648368,0.4643,0.04
100,5,6,5,"mixed_population",1,0,1.52452304392601,1.59419285965081,0.0522021146973368,0.8421,0.48
100,5,6,5,"mixed_population",10,0,1.52452304392601,2.42464696690687,0.0514951683386105,1,1
100,5,6,5,"multinomial",0.1,0,1.53222462141161,1.52730911391826,0.0455859036217713,0.4652,0.04
100,5,6,5,"multinomial",1,0,1.53222462141161,1.60047841075476,0.0519958612914402,0.8365,0.47
100,5,6,5,"multinomial",10,0,1.53222462141161,2.44813599542565,0.050366443516939,1,1
100,5,6,15,"mixed",0.1,0,2.54002289433709,2.56996812647391,0.106629396508603,0.573,0.16
100,5,6,15,"mixed",1,0,2.54002289433709,2.81867943355341,0.0892001501687298,0.9881,0.95
100,5,6,15,"mixed",10,0,2.54002289433709,6.32403810895113,0.189628664250185,1,1
100,5,6,15,"mixed_population",0.1,0,2.53998343113743,2.56993515509362,0.106630655557825,0.5731,0.16
100,5,6,15,"mixed_population",1,0,2.53998343113743,2.81627756721034,0.0887746924562136,0.9875,0.95
100,5,6,15,"mixed_population",10,0,2.53998343113743,5.87087025457729,0.154979478587764,1,1
100,5,6,15,"multinomial",0.1,0,2.54504472679263,2.57543372512814,0.106821298847991,0.5744,0.15
100,5,6,15,"multinomial",1,0,2.54504472679263,2.81697570729097,0.0879063731618348,0.9864,0.95
100,5,6,15,"multinomial",10,0,2.54504472679263,5.90738638180989,0.148823147888394,1,1
100,5,6,30,"mixed",0.1,0,4.11911307082209,4.11513566285518,0.142428578782556,0.5061,0.01
100,5,6,30,"mixed",1,0,4.11911307082209,4.65966532217769,0.163405270394615,0.9942,0.98
100,5,6,30,"mixed",10,0,4.11911307082209,12.0192504270515,0.280671405969354,1,1
100,5,6,30,"mixed_population",0.1,0,4.11896357555343,4.11503412096017,0.142428085980112,0.5059,0.01
100,5,6,30,"mixed_population",1,0,4.11896357555343,4.6614879493196,0.164870462687885,0.9945,0.98
100,5,6,30,"mixed_population",10,0,4.11896357555343,11.0483910215811,0.225778056168376,1,1
100,5,6,30,"multinomial",0.1,0,4.12380949665348,4.11919990542717,0.142754192024617,0.506,0.01
100,5,6,30,"multinomial",1,0,4.12380949665348,4.64228971727768,0.161715902379546,0.9922,0.97
100,5,6,30,"multinomial",10,0,4.12380949665348,11.1203135367063,0.223082080263409,1,1
