"n","j","k","m","theta","replication","index_form","index"
100,3,3,5,0.01,63,"mixed",1.32167520365152
100,3,3,5,0.01,63,"mixed_population",1.3216759617429
100,3,3,5,0.01,64,"multinomial",1.29207406121053
100,3,3,5,0.01,64,"mixed",1.28970055232591
100,3,3,5,0.01,64,"mixed_population",1.2897005431942
100,3,3,5,0.01,65,"multinomial",1.29561668990602
100,3,3,5,0.01,65,"mixed",1.29448107806573
100,3,3,5,0.01,65,"mixed_population",1.29448107443338
100,3,3,5,0.01,66,"multinomial",1.23898493077578
100,3,3,5,0.01,66,"mixed",1.23306711479863
100,3,3,5,0.01,66,"mixed_population",1.23306714555875
100,3,3,5,0.01,67,"multinomial",1.193962163763
100,3,3,5,0.01,67,"mixed",1.18798626274594
100,3,3,5,0.01,67,"mixed_population",1.18798633800194
100,3,3,5,0.01,68,"multinomial",1.3035391707744
100,3,3,5,0.01,68,"mixed",1.29838258261488
100,3,3,5,0.01,68,"mixed_population",1.29746015809547
100,3,3,5,0.01,69,"multinomial",1.18848117732318
100,3,3,5,0.01,69,"mixed",1.18244471612163
100,3,3,5,0.01,69,"mixed_population",1.1824447319933
100,3,3,5,0.01,70,"multinomial",1.24179235539779
100,3,3,5,0.01,70,"mixed",1.23054269042119
100,3,3,5,0.01,70,"mixed_population",1.23054268308473
100,3,3,5,0.01,71,"multinomial",1.33612938445739
100,3,3,5,0.01,71,"mixed",1.33059575292792
100,3,3,5,0.01,71,"mixed_population",1.33059575268833
100,3,3,5,0.01,72,"multinomial",1.21885465253519
100,3,3,5,0.01,72,"mixed",1.21764888910147
100,3,3,5,0.01,72,"mixed_population",1.21764890987099
100,3,3,5,0.01,73,"multinomial",1.21531839234135
100,3,3,5,0.01,73,"mixed",1.21219713262837
100,3,3,5,0.01,73,"mixed_population",1.21219714095173
100,3,3,5,0.01,74,"multinomial",1.31721038600934
100,3,3,5,0.01,74,"mixed",1.30748183451096
100,3,3,5,0.01,74,"mixed_population",1.30748183806431
100,3,3,5,0.01,75,"multinomial",1.34636680255538
100,3,3,5,0.01,75,"mixed",1.33868282873856
100,3,3,5,0.01,75,"mixed_population",1.33868378062441
100,3,3,5,0.01,76,"multinomial",1.31743230584022
100,3,3,5,0.01,76,"mixed",1.3075167034375
100,3,3,5,0.01,76,"mixed_population",1.30751669662285
100,3,3,5,0.01,77,"multinomial",1.36762002796178
100,3,3,5,0.01,77,"mixed",1.35977037349228
100,3,3,5,0.01,77,"mixed_population",1.35976968671522
100,3,3,5,0.01,78,"multinomial",1.31664796912603
100,3,3,5,0.01,78,"mixed",1.3101915154615
100,3,3,5,0.01,78,"mixed_population",1.31019151592444
100,3,3,5,0.01,79,"multinomial",1.3621156476091
100,3,3,5,0.01,79,"mixed",1.36039785973326
100,3,3,5,0.01,79,"mixed_population",1.3603978605187
100,3,3,5,0.01,80,"multinomial",1.23976014780558
100,3,3,5,0.01,80,"mixed",1.23789939197892
100,3,3,5,0.01,80,"mixed_population",1.23789939247235
100,3,3,5,0.01,81,"multinomial",1.30459757937292
100,3,3,5,0.01,81,"mixed",1.30039168924442
100,3,3,5,0.01,81,"mixed_population",1.30018465173187
100,3,3,5,0.01,82,"multinomial",1.2681341990731
100,3,3,5,0.01,82,"mixed",1.26345954297422
100,3,3,5,0.01,82,"mixed_population",1.26312710473213
100,3,3,5,0.01,83,"multinomial",1.2619936625135
100,3,3,5,0.01,83,"mixed",1.25804705289107
100,3,3,5,0.01,83,"mixed_population",1.25804701549416
100,3,3,5,0.01,84,"multinomial",1.30914077586514
100,3,3,5,0.01,84,"mixed",1.30516234118269
100,3,3,5,0.01,84,"mixed_population",1.30288453679815
100,3,3,5,0.01,85,"multinomial",1.35600203387142
100,3,3,5,0.01,85,"mixed",1.34996084684758
100,3,3,5,0.01,85,"mixed_population",1.34996072584299
100,3,3,5,0.01,86,"multinomial",1.16002895450322
100,3,3,5,0.01,86,"mixed",1.15810326838032
100,3,3,5,0.01,86,"mixed_population",1.15810326918222
100,3,3,5,0.01,87,"multinomial",1.22852653021453
100,3,3,5,0.01,87,"mixed",1.22721479244702
100,3,3,5,0.01,87,"mixed_population",1.22721480865193
100,3,3,5,0.01,88,"multinomial",1.28221780586348
100,3,3,5,0.01,88,"mixed",1.27996232104154
100,3,3,5,0.01,88,"mixed_population",1.27996238546318
100,3,3,5,0.01,89,"multinomial",1.32125859757668
100,3,3,5,0.01,89,"mixed",1.32155102810281
100,3,3,5,0.01,89,"mixed_population",1.32155111437427
100,3,3,5,0.01,90,"multinomial",1.32928076227875
100,3,3,5,0.01,90,"mixed",1.32668109353414
100,3,3,5,0.01,90,"mixed_population",1.32668108766596
100,3,3,5,0.01,91,"multinomial",1.22605561517424
100,3,3,5,0.01,91,"mixed",1.2188875770023
100,3,3,5,0.01,91,"mixed_population",1.21684362260557
100,3,3,5,0.01,92,"multinomial",1.23384810706618
100,3,3,5,0.01,92,"mixed",1.22740652808205
100,3,3,5,0.01,92,"mixed_population",1.22740646799424
100,3,3,5,0.01,93,"multinomial",1.30203194343161
100,3,3,5,0.01,93,"mixed",1.29801345064198
100,3,3,5,0.01,93,"mixed_population",1.29801487635043
100,3,3,5,0.01,94,"multinomial",1.250948879752
100,3,3,5,0.01,94,"mixed",1.24360660146369
100,3,3,5,0.01,94,"mixed_population",1.24360660141232
100,3,3,5,0.01,95,"multinomial",1.33501032702029
100,3,3,5,0.01,95,"mixed",1.32987723826253
100,3,3,5,0.01,95,"mixed_population",1.32987736750571
100,3,3,5,0.01,96,"multinomial",1.52868055931071
100,3,3,5,0.01,96,"mixed",1.5269555509672
100,3,3,5,0.01,96,"mixed_population",1.52695553384587
100,3,3,5,0.01,97,"multinomial",1.19372027160576
100,3,3,5,0.01,97,"mixed",1.19313623656629
100,3,3,5,0.01,97,"mixed_population",1.19313623756172
100,3,3,5,0.01,98,"multinomial",1.25689043488357
100,3,3,5,0.01,98,"mixed",1.25330500914771
100,3,3,5,0.01,98,"mixed_population",1.25330501496715
100,3,3,5,0.01,99,"multinomial",1.30226095201725
100,3,3,5,0.01,99,"mixed",1.29911867557374
100,3,3,5,0.01,99,"mixed_population",1.29911866405747
100,3,3,5,0.01,100,"multinomial",1.30100393922793
100,3,3,5,0.01,100,"mixed",1.29451222069295
100,3,3,5,0.01,100,"mixed_population",1.29355164116114
100,3,3,5,0.1,1,"multinomial",1.44942655979867
100,3,3,5,0.1,1,"mixed",1.45275849794393
100,3,3,5,0.1,1,"mixed_population",1.44742041910905
100,3,3,5,0.1,2,"multinomial",1.38932687904871
100,3,3,5,0.1,2,"mixed",1.38480425016704
100,3,3,5,0.1,2,"mixed_population",1.38480431952342
100,3,3,5,0.1,3,"multinomial",1.22775548316558
100,3,3,5,0.1,3,"mixed",1.22529534126112
100,3,3,5,0.1,3,"mixed_population",1.2252953420524
100,3,3,5,0.1,4,"multinomial",1.21496854914095
100,3,3,5,0.1,4,"mixed",1.20868108325851
100,3,3,5,0.1,4,"mixed_population",1.20868112962817
100,3,3,5,0.1,5,"multinomial",1.26838987353385
100,3,3,5,0.1,5,"mixed",1.26349344001593
100,3,3,5,0.1,5,"mixed_population",1.26349345709399
100,3,3,5,0.1,6,"multinomial",1.21609861063199
100,3,3,5,0.1,6,"mixed",1.20885881559351
100,3,3,5,0.1,6,"mixed_population",1.20833763817372
100,3,3,5,0.1,7,"multinomial",1.34058234165674
100,3,3,5,0.1,7,"mixed",1.33694257140541
100,3,3,5,0.1,7,"mixed_population",1.33694252734499
100,3,3,5,0.1,8,"multinomial",1.25797053879718
100,3,3,5,0.1,8,"mixed",1.25715298145964
100,3,3,5,0.1,8,"mixed_population",1.25598327384152
100,3,3,5,0.1,9,"multinomial",1.21672468341271
100,3,3,5,0.1,9,"mixed",1.21543844025939
100,3,3,5,0.1,9,"mixed_population",1.21543846168984
100,3,3,5,0.1,10,"multinomial",1.32066329440646
100,3,3,5,0.1,10,"mixed",1.31480432447605
100,3,3,5,0.1,10,"mixed_population",1.31480429596657
100,3,3,5,0.1,11,"multinomial",1.35057596827681
100,3,3,5,0.1,11,"mixed",1.34980309698329
100,3,3,5,0.1,11,"mixed_population",1.34980311688791
100,3,3,5,0.1,12,"multinomial",1.23164343213661
100,3,3,5,0.1,12,"mixed",1.22934892443654
100,3,3,5,0.1,12,"mixed_population",1.22934924430982
100,3,3,5,0.1,13,"multinomial",1.27700178043423
100,3,3,5,0.1,13,"mixed",1.27457345997436
100,3,3,5,0.1,13,"mixed_population",1.27457345644957
100,3,3,5,0.1,14,"multinomial",1.35266363754754
100,3,3,5,0.1,14,"mixed",1.35039346869567
100,3,3,5,0.1,14,"mixed_population",1.35039320330921
100,3,3,5,0.1,15,"multinomial",1.23234283858009
100,3,3,5,0.1,15,"mixed",1.23051341291472
100,3,3,5,0.1,15,"mixed_population",1.2305134128866
100,3,3,5,0.1,16,"multinomial",1.35154609516332
100,3,3,5,0.1,16,"mixed",1.34745979159664
100,3,3,5,0.1,16,"mixed_population",1.347459758808
100,3,3,5,0.1,17,"multinomial",1.21058044078134
100,3,3,5,0.1,17,"mixed",1.20957840097521
100,3,3,5,0.1,17,"mixed_population",1.20884824812414
100,3,3,5,0.1,18,"multinomial",1.1957443019282
100,3,3,5,0.1,18,"mixed",1.19344722933496
100,3,3,5,0.1,18,"mixed_population",1.19344723084742
100,3,3,5,0.1,19,"multinomial",1.38449692996047
100,3,3,5,0.1,19,"mixed",1.37974517418812
100,3,3,5,0.1,19,"mixed_population",1.37974507128392
100,3,3,5,0.1,20,"multinomial",1.22286557913055
100,3,3,5,0.1,20,"mixed",1.21835216325962
100,3,3,5,0.1,20,"mixed_population",1.21835212566176
100,3,3,5,0.1,21,"multinomial",1.20297926708654
100,3,3,5,0.1,21,"mixed",1.19681095671536
100,3,3,5,0.1,21,"mixed_population",1.19681099114278
100,3,3,5,0.1,22,"multinomial",1.18159762470958
100,3,3,5,0.1,22,"mixed",1.17974945655016
100,3,3,5,0.1,22,"mixed_population",1.17974836962828
100,3,3,5,0.1,23,"multinomial",1.30090158970074
100,3,3,5,0.1,23,"mixed",1.29743049662789
100,3,3,5,0.1,23,"mixed_population",1.29743050309122
100,3,3,5,0.1,24,"multinomial",1.36455722412427
100,3,3,5,0.1,24,"mixed",1.36187567732845
100,3,3,5,0.1,24,"mixed_population",1.36187604796717
100,3,3,5,0.1,25,"multinomial",1.46272582003606
100,3,3,5,0.1,25,"mixed",1.45269609652738
100,3,3,5,0.1,25,"mixed_population",1.45269614818718
100,3,3,5,0.1,26,"multinomial",1.43171685240447
100,3,3,5,0.1,26,"mixed",1.42420658377345
100,3,3,5,0.1,26,"mixed_population",1.42420656124169
100,3,3,5,0.1,27,"multinomial",1.19515148366629
100,3,3,5,0.1,27,"mixed",1.1915102316295
100,3,3,5,0.1,27,"mixed_population",1.19151023156722
100,3,3,5,0.1,28,"multinomial",1.3914825137583
100,3,3,5,0.1,28,"mixed",1.39343025442502
100,3,3,5,0.1,28,"mixed_population",1.3845481431474
100,3,3,5,0.1,29,"multinomial",1.29186585905415
100,3,3,5,0.1,29,"mixed",1.28967069912607
100,3,3,5,0.1,29,"mixed_population",1.289670720106
100,3,3,5,0.1,30,"multinomial",1.22397704493191
100,3,3,5,0.1,30,"mixed",1.22083073999231
100,3,3,5,0.1,30,"mixed_population",1.22083066956917
100,3,3,5,0.1,31,"multinomial",1.34157043836334
100,3,3,5,0.1,31,"mixed",1.33376113620114
100,3,3,5,0.1,31,"mixed_population",1.33376114027699
